Date,Open,High,Low,Close,Volume,Company
2016/08/12,10827.870117,10843.5,10798.969727,10822.410156,3000660000,NYSE
2016/08/11,10775.05957,10848.200195,10775.05957,10836.150391,3423160000,NYSE
2016/08/10,10812.320312,10821.209961,10761.070312,10774.980469,3254950000,NYSE
2016/08/09,10797.370117,10828.509766,10786.450195,10804.509766,3334300000,NYSE
2016/08/08,10789.849609,10806.299805,10778.169922,10788.009766,3327550000,NYSE
2016/08/05,10731.820312,10782.870117,10729.669922,10782.870117,3663070000,NYSE
2016/08/04,10697.230469,10726.299805,10679.639648,10707.129883,3709200000,NYSE
2016/08/03,10660.910156,10695.139648,10624.639648,10695.139648,3786530000,NYSE
2016/08/02,10729.110352,10730.879883,10619.389648,10661.129883,3848750000,NYSE
2016/08/01,10768.75,10780.599609,10713.719727,10730.200195,3505990000,NYSE
2016/07/29,10734.070312,10797.990234,10717.379883,10785.509766,4038840000,NYSE
2016/07/28,10727.870117,10758.030273,10692.830078,10744.160156,3664240000,NYSE
2016/07/27,10782.320312,10785.240234,10696.799805,10739.769531,3995500000,NYSE
2016/07/26,10754.94043,10788.929688,10727.339844,10772.990234,3442350000,NYSE
2016/07/25,10787.570312,10787.570312,10725.139648,10752.429688,3057240000,NYSE
2016/07/22,10764.269531,10807.219727,10750.660156,10805.040039,3023280000,NYSE
2016/07/21,10784.679688,10811.740234,10735.080078,10758.620117,3438900000,NYSE
2016/07/20,10758.599609,10805.009766,10746.580078,10793.099609,3211860000,NYSE
2016/07/19,10754.540039,10763.980469,10733.089844,10758.540039,2968340000,NYSE
2016/07/18,10773.110352,10797.990234,10747.280273,10793.169922,3009310000,NYSE
2016/07/15,10808.889648,10811.530273,10744.209961,10773.120117,3122600000,NYSE
2016/07/14,10806.209961,10815.429688,10769.589844,10786.629883,3465610000,NYSE
2016/07/13,10743.200195,10751.240234,10692.450195,10734.200195,3502320000,NYSE
2016/07/12,10685.570312,10748.009766,10685.570312,10726.790039,4097820000,NYSE
2016/07/11,10606.030273,10650.860352,10600.160156,10627.200195,3253340000,NYSE
2016/07/08,10414.80957,10582.450195,10414.80957,10571.780273,3607500000,NYSE
2016/07/07,10461.139648,10495.269531,10373.469727,10413.969727,3604550000,NYSE
2016/07/06,10356.219727,10445.169922,10308.219727,10441.580078,3909380000,NYSE
2016/07/05,10452.480469,10455.929688,10378.530273,10409.540039,3658380000,NYSE
2016/07/01,10495.080078,10535.790039,10490.790039,10515.759766,3458890000,NYSE
2016/06/30,10374.570312,10489.759766,10336.519531,10489.759766,4622820000,NYSE
2016/06/29,10254.860352,10362.05957,10254.860352,10350.530273,4241740000,NYSE
2016/06/28,10073.150391,10161.160156,10063.830078,10161.160156,4385810000,NYSE
2016/06/27,10084.480469,10084.480469,9918.719727,9973.540039,5431220000,NYSE
2016/06/24,10335.919922,10360.099609,10164.419922,10183.509766,7597449600,NYSE
2016/06/23,10573.469727,10641.169922,10561.790039,10641.169922,3297940000,NYSE
2016/06/22,10507.94043,10549.959961,10469.709961,10473.05957,3168160000,NYSE
2016/06/21,10481.160156,10521.589844,10448.370117,10490.780273,3232880000,NYSE
2016/06/20,10456.919922,10527.790039,10448.019531,10450.030273,3467440000,NYSE
2016/06/17,10343.610352,10363.990234,10292.669922,10347.94043,4952630000,NYSE
2016/06/16,10237.929688,10328.889648,10166.980469,10322.839844,3628280000,NYSE
2016/06/15,10294.679688,10365.759766,10289.30957,10297.160156,3544720000,NYSE
2016/06/14,10310.070312,10340.339844,10241.19043,10294.589844,3759770000,NYSE
2016/06/13,10400.150391,10452.620117,10345.370117,10349.179688,3392030000,NYSE
2016/06/10,10501.570312,10501.570312,10417.110352,10446.099609,3515010000,NYSE
2016/06/09,10581.219727,10599.330078,10553.259766,10589.820312,3290320000,NYSE
2016/06/08,10620.19043,10648.049805,10610.209961,10638.360352,3562060000,NYSE
2016/06/07,10554.589844,10626.830078,10554.589844,10599.219727,3534730000,NYSE
2016/06/06,10508.5,10568.849609,10508.5,10554.820312,3442020000,NYSE
2016/06/03,10477.780273,10504.459961,10417.900391,10487.94043,3627780000,NYSE
2016/06/02,10424.679688,10487.610352,10403.509766,10487.580078,3632720000,NYSE
2016/06/01,10385.929688,10462,10369.5,10454.929688,3525170000,NYSE
2016/05/31,10479.879883,10496.94043,10406.639648,10441,4514410000,NYSE
2016/05/27,10437.969727,10469.530273,10436.549805,10469.519531,3079150000,NYSE
2016/05/26,10462.280273,10475.780273,10426.169922,10439.610352,3230990000,NYSE
2016/05/25,10399.120117,10465.639648,10399.120117,10446.580078,3859160000,NYSE
2016/05/24,10275.790039,10370.240234,10275.790039,10353.55957,3627340000,NYSE
2016/05/23,10237.990234,10259.889648,10222.30957,10226.55957,3055480000,NYSE
2016/05/20,10224.75,10272.679688,10224.75,10250.490234,3507650000,NYSE
2016/05/19,10189.769531,10209.839844,10119.650391,10192.480469,3846770000,NYSE
2016/05/18,10229.969727,10320.099609,10183.30957,10239.650391,4101320000,NYSE
2016/05/17,10312.69043,10334.740234,10226.620117,10257.610352,4108960000,NYSE
2016/05/16,10243.200195,10355.25,10243.200195,10332.469727,3501360000,NYSE
2016/05/13,10305.849609,10334.389648,10210.259766,10228.05957,3579880000,NYSE
2016/05/12,10375.879883,10399.950195,10283.480469,10334.379883,0,NYSE
2016/05/11,10391.929688,10408.929688,10332.240234,10332.240234,3821980000,NYSE
2016/05/10,10323.269531,10424.669922,10323.269531,10424.110352,3600200000,NYSE
2016/05/09,10300.660156,10325.049805,10261.120117,10291.589844,3788620000,NYSE
2016/05/06,10280.990234,10315.919922,10230.5,10308.830078,3796350000,NYSE
2016/05/05,10303.040039,10340.459961,10254.719727,10281.320312,4008530000,NYSE
2016/05/04,10302.679688,10337.209961,10257.75,10286.240234,4058560000,NYSE
2016/05/03,10432.240234,10432.240234,10323.240234,10365.830078,4173390000,NYSE
2016/05/02,10450.129883,10503.410156,10430.219727,10496.330078,3841110000,NYSE
2016/04/29,10480.219727,10480.219727,10370.349609,10436.919922,4704720000,NYSE
2016/04/28,10521.169922,10577.889648,10461.530273,10480.450195,4309840000,NYSE
2016/04/27,10528.480469,10593.209961,10507.589844,10571.830078,4100110000,NYSE
2016/04/26,10492.570312,10525.379883,10477.790039,10522.580078,3557190000,NYSE
2016/04/25,10487.830078,10487.830078,10424.19043,10465.650391,3319740000,NYSE
2016/04/22,10464.200195,10520,10464.200195,10511,3790580000,NYSE
2016/04/21,10524.480469,10536.69043,10440.469727,10454.820312,4175290000,NYSE
2016/04/20,10517.05957,10572.240234,10489.030273,10527.790039,4184880000,NYSE
2016/04/19,10463.639648,10528.639648,10424.929688,10517.299805,3896830000,NYSE
2016/04/18,10315.650391,10427.160156,10304.219727,10424.929688,3316880000,NYSE
2016/04/15,10359.580078,10359.580078,10332.870117,10355.570312,3701450000,NYSE
2016/04/14,10359.19043,10377.660156,10334.450195,10360.240234,3765870000,NYSE
2016/04/13,10271.660156,10362.129883,10271.660156,10359.509766,4191830000,NYSE
2016/04/12,10114.580078,10257.299805,10114.580078,10238.69043,4239740000,NYSE
2016/04/11,10154.080078,10210.55957,10114.450195,10114.580078,3567840000,NYSE
2016/04/08,10108.709961,10170.969727,10093.280273,10119.69043,3359530000,NYSE
2016/04/07,10112.980469,10117.160156,10004.769531,10045.150391,3801250000,NYSE
2016/04/06,10062.839844,10162.299805,10044.410156,10159.849609,3750800000,NYSE
2016/04/05,10104.769531,10104.769531,10050.650391,10061.080078,4154920000,NYSE
2016/04/04,10227.120117,10234.160156,10168.780273,10183,3485710000,NYSE
2016/04/01,10132.580078,10231.080078,10085.25,10219.959961,3749990000,NYSE
2016/03/31,10236.799805,10248.820312,10198.919922,10207.370117,3715280000,NYSE
2016/03/30,10245.929688,10281.69043,10217.980469,10236.950195,3590310000,NYSE
2016/03/29,10071.419922,10193.730469,10048.519531,10190.410156,3822330000,NYSE
2016/03/28,10105.120117,10128.900391,10065.379883,10106.44043,2809090000,NYSE
2016/03/24,10032.889648,10087.049805,10003.980469,10086.599609,3407720000,NYSE
2016/03/23,10171.379883,10171.379883,10096.889648,10099.679688,3639510000,NYSE
2016/03/22,10169.900391,10226.509766,10145.349609,10194.200195,3418460000,NYSE
2016/03/21,10204.700195,10232.799805,10181.849609,10219.69043,3376600000,NYSE
2016/03/18,10216.599609,10248.070312,10198.320312,10223.429688,6503140000,NYSE
2016/03/17,10101.650391,10216.700195,10073.120117,10190.400391,4530480000,NYSE
2016/03/16,9986.480469,10102.070312,9978.889648,10084.169922,4057020000,NYSE
2016/03/15,10005.589844,10013.700195,9970.950195,10013.599609,3560280000,NYSE
2016/03/14,10073.330078,10097.549805,10038.400391,10074.269531,3487850000,NYSE
2016/03/11,9988.290039,10105.009766,9988.290039,10104.19043,4078620000,NYSE
2016/03/10,9954.160156,10004.330078,9826.519531,9918.070312,4376790000,NYSE
2016/03/09,9906.839844,9946.969727,9881.759766,9924.80957,4038120000,NYSE
2016/03/08,9952.230469,9952.230469,9862.330078,9868.519531,4641650000,NYSE
2016/03/07,9922.379883,10021.780273,9911.330078,10006.19043,4968180000,NYSE
2016/03/04,9929.330078,10010.660156,9902.040039,9968.410156,6049930000,NYSE
2016/03/03,9828.30957,9909.80957,9809.169922,9907.969727,5081700000,NYSE
2016/03/02,9746.419922,9837.639648,9725.900391,9837.589844,4666610000,NYSE
2016/03/01,9626.879883,9771,9613.959961,9771,4819750000,NYSE
2016/02/29,9615.169922,9670.839844,9558.860352,9559.530273,4588180000,NYSE
2016/02/26,9668.259766,9682.929688,9607.660156,9619.790039,4348510000,NYSE
2016/02/25,9534.740234,9625.709961,9506.240234,9625.269531,4118210000,NYSE
2016/02/24,9411.269531,9517.75,9325.240234,9506.070312,4317250000,NYSE
2016/02/23,9582.759766,9589.740234,9485.360352,9494.320312,3890650000,NYSE
2016/02/22,9485.769531,9623.639648,9485.769531,9616.320312,4054710000,NYSE
2016/02/19,9465.179688,9504.980469,9406.540039,9485.959961,4142850000,NYSE
2016/02/18,9532.860352,9543.75,9483.459961,9504.980469,4436490000,NYSE
2016/02/17,9426.759766,9551.629883,9426.759766,9532.280273,5011540000,NYSE
2016/02/16,9317.94043,9377.509766,9275.740234,9375.389648,4570670000,NYSE
2016/02/12,9092.870117,9229.679688,9089.450195,9229.679688,4696920000,NYSE
2016/02/11,9092.910156,9092.910156,8944.049805,9029.879883,5500800000,NYSE
2016/02/10,9221.839844,9315.959961,9170.929688,9176.719727,4471170000,NYSE
2016/02/09,9131.980469,9250.650391,9109.049805,9187.790039,5183220000,NYSE
2016/02/08,9294.879883,9294.879883,9127.139648,9231.330078,5636460000,NYSE
2016/02/05,9499.530273,9500.820312,9360.94043,9390.330078,4929940000,NYSE
2016/02/04,9484.129883,9591.299805,9465.870117,9534.299805,5193320000,NYSE
2016/02/03,9471.790039,9513.219727,9276.339844,9495.209961,5172950000,NYSE
2016/02/02,9532.990234,9532.990234,9386.120117,9413.780273,4463190000,NYSE
2016/02/01,9578.919922,9651.200195,9514.769531,9616.69043,4322530000,NYSE
2016/01/29,9439.339844,9632.709961,9439.339844,9632.700195,5497570000,NYSE
2016/01/28,9374.839844,9463.200195,9324.150391,9397.790039,4693010000,NYSE
2016/01/27,9403.870117,9522.610352,9321.330078,9373.780273,4754040000,NYSE
2016/01/26,9295.339844,9436.540039,9295.339844,9429.110352,4357940000,NYSE
2016/01/25,9393.540039,9393.540039,9258.660156,9262.990234,4401380000,NYSE
2016/01/22,9343.129883,9437.790039,9343.129883,9426.910156,4901760000,NYSE
2016/01/21,9164.169922,9311.570312,9102.389648,9226.570312,5078810000,NYSE
2016/01/20,9214.94043,9233.610352,8937.990234,9156.839844,6416070000,NYSE
2016/01/19,9378.860352,9406.349609,9226.820312,9301.740234,4928350000,NYSE
2016/01/15,9387.540039,9387.540039,9192.070312,9299.620117,5468460000,NYSE
2016/01/14,9405.429688,9567.820312,9332.259766,9516.549805,5241110000,NYSE
2016/01/13,9619.009766,9644.450195,9349.469727,9374.230469,5087030000,NYSE
2016/01/12,9591.30957,9630.910156,9460.790039,9576.519531,4887260000,NYSE
2016/01/11,9575.179688,9598.639648,9435.820312,9527.660156,4607290000,NYSE
2016/01/08,9692.799805,9725.900391,9513.25,9528.769531,4664940000,NYSE
2016/01/07,9751.349609,9791.169922,9627.05957,9650.419922,5076590000,NYSE
2016/01/06,9907.370117,9925.900391,9821.330078,9868.259766,4336660000,NYSE
2016/01/05,10007.009766,10039.959961,9959.820312,10028.05957,3706620000,NYSE
2016/01/04,10020.049805,10020.049805,9891.070312,10001.55957,4304880000,NYSE
2015/12/31,10186.44043,10223.070312,10142.339844,10143.419922,2655330000,NYSE
2015/12/30,10277.530273,10283.969727,10218.709961,10225.830078,2367430000,NYSE
2015/12/29,10270.379883,10318.419922,10270.379883,10306.599609,2542000000,NYSE
2015/12/28,10225.990234,10225.990234,10169.089844,10217.400391,2492510000,NYSE
2015/12/24,10266.05957,10290.360352,10242.639648,10258.549805,1411860000,NYSE
2015/12/23,10180.620117,10277.969727,10180.620117,10276.280273,3484090000,NYSE
2015/12/22,10052.339844,10132.580078,10015.980469,10112.400391,3520860000,NYSE
2015/12/21,10017.129883,10054.419922,9961.049805,10023.030273,3760280000,NYSE
2015/12/18,10072.980469,10072.980469,9966.820312,9967.639648,6683070000,NYSE
2015/12/17,10267.830078,10267.830078,10112.570312,10112.629883,4327390000,NYSE
2015/12/16,10164.839844,10282.240234,10139.589844,10267.830078,4635450000,NYSE
2015/12/15,10057.330078,10149.120117,10057.330078,10110.94043,4353540000,NYSE
2015/12/14,9977.820312,10013.860352,9880.419922,9986.759766,4612440000,NYSE
2015/12/11,10074.080078,10075.429688,9956.709961,9976.650391,4301060000,NYSE
2015/12/10,10165.459961,10242.790039,10155.570312,10172.040039,3715150000,NYSE
2015/12/09,10191.349609,10316.969727,10115.769531,10162.370117,4385250000,NYSE
2015/12/08,10214.290039,10254.75,10157.69043,10198.370117,4173570000,NYSE
2015/12/07,10408.860352,10408.860352,10264.480469,10304.530273,4043820000,NYSE
2015/12/04,10266.5,10417.759766,10264.959961,10408.860352,4214910000,NYSE
2015/12/03,10415.55957,10422.780273,10227.360352,10257.379883,4306490000,NYSE
2015/12/02,10501.099609,10511.120117,10376.450195,10389.200195,3950640000,NYSE
2015/12/01,10447.05957,10523.790039,10446.580078,10519.589844,3712120000,NYSE
2015/11/30,10455.480469,10460.330078,10409.459961,10409.589844,4245030000,NYSE
2015/11/27,10442.610352,10463.969727,10425.55957,10450.530273,1466840000,NYSE
2015/11/25,10449.679688,10471.280273,10430.139648,10450.360352,2852940000,NYSE
